id,sentiment
505,positive
506,neutral
507,neutral
508,negative
509,positive
510,negative
511,neutral
512,positive
513,neutral
514,positive
515,neutral
516,neutral
517,neutral
518,neutral
519,positive
520,positive
521,positive
522,neutral
523,positive
524,positive
525,neutral
526,positive
527,neutral
528,neutral
529,positive
530,neutral
531,negative
532,neutral
533,neutral
534,neutral
535,neutral
536,neutral
537,positive
538,negative
539,positive
540,neutral
541,positive
542,neutral
543,positive
544,neutral
545,negative
546,neutral
547,negative
548,positive
549,positive
550,neutral
551,positive
552,positive
554,positive
555,positive
556,neutral
557,neutral
558,positive
559,neutral
560,negative
561,neutral
562,positive
563,neutral
564,negative
565,neutral
566,neutral
567,negative
568,positive
569,neutral
570,neutral
571,positive
572,negative
573,neutral
574,neutral
575,positive
576,neutral
577,negative
578,positive
579,neutral
580,positive
581,neutral
582,neutral
583,positive
584,neutral
585,neutral
586,negative
587,neutral
588,neutral
589,positive
590,negative
591,neutral
592,neutral
593,positive
594,negative
595,neutral
596,neutral
597,neutral
598,negative
599,positive
600,neutral
601,positive
602,neutral
603,negative
604,positive
605,neutral
606,negative
607,neutral
608,neutral
609,neutral
610,negative
611,positive
612,positive
613,positive
614,positive
615,neutral
616,positive
617,positive
618,positive
619,neutral
620,neutral
621,neutral
622,neutral
623,negative
624,neutral
625,neutral
626,positive
627,neutral
628,neutral
629,neutral
630,neutral
631,negative
632,neutral
633,neutral
634,neutral
635,positive
636,neutral
637,neutral
638,negative
639,neutral
640,neutral
641,neutral
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,positive
648,positive
649,neutral
650,positive
651,positive
652,positive
653,positive
654,positive
655,negative
656,neutral
657,neutral
658,positive
659,neutral
660,positive
661,neutral
662,negative
663,negative
664,neutral
665,positive
666,neutral
667,positive
668,neutral
669,negative
670,neutral
671,negative
672,negative
673,neutral
674,neutral
675,positive
676,neutral
677,positive
678,negative
679,neutral
680,neutral
681,positive
682,positive
683,positive
684,positive
685,neutral
686,negative
687,positive
688,negative
689,positive
690,neutral
691,neutral
692,neutral
693,neutral
694,neutral
695,negative
696,positive
697,positive
698,neutral
699,neutral
700,negative
701,neutral
702,positive
703,neutral
704,neutral
705,negative
706,positive
707,neutral
708,positive
709,neutral
710,neutral
711,negative
712,neutral
713,positive
714,neutral
715,positive
716,positive
717,neutral
718,positive
719,neutral
720,neutral
721,neutral
722,neutral
723,neutral
724,neutral
725,positive
726,neutral
727,negative
728,neutral
729,positive
730,neutral
731,positive
732,negative
733,neutral
734,negative
735,negative
736,positive
737,neutral
738,neutral
739,negative
740,neutral
741,negative
742,positive
743,neutral
744,negative
745,negative
746,neutral
747,positive
748,neutral
749,negative
750,neutral
751,positive
752,positive
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,negative
759,neutral
760,positive
761,positive
762,negative
763,neutral
764,positive
765,positive
766,negative
767,positive
768,positive
769,positive
770,positive
771,positive
772,neutral
773,neutral
774,positive
775,neutral
776,positive
777,positive
778,neutral
779,neutral
780,neutral
781,positive
782,positive
783,neutral
784,neutral
785,negative
786,positive
787,neutral
788,neutral
789,positive
790,negative
791,positive
792,positive
793,neutral
794,neutral
795,positive
796,negative
797,neutral
798,neutral
799,neutral
800,positive
801,negative
802,neutral
803,positive
804,neutral
805,positive
806,positive
807,negative
808,positive
809,neutral
810,negative
811,neutral
812,positive
813,neutral
814,positive
815,neutral
816,neutral
817,neutral
818,negative
819,neutral
820,positive
821,neutral
822,neutral
823,neutral
824,negative
825,neutral
826,neutral
827,neutral
828,neutral
829,positive
830,neutral
831,negative
832,neutral
833,neutral
834,neutral
835,neutral
836,neutral
837,positive
838,neutral
839,neutral
840,positive
841,neutral
842,neutral
843,neutral
844,negative
845,positive
846,positive
847,neutral
848,neutral
849,neutral
850,neutral
851,negative
852,positive
853,negative
854,positive
855,neutral
856,neutral
857,positive
858,neutral
859,positive
860,neutral
861,neutral
862,positive
863,neutral
864,negative
865,positive
866,neutral
867,neutral
868,neutral
869,positive
870,neutral
871,negative
872,neutral
873,neutral
874,positive
875,positive
876,neutral
877,positive
878,positive
879,neutral
880,neutral
881,negative
882,neutral
883,neutral
884,neutral
885,neutral
886,negative
887,neutral
888,negative
889,neutral
890,positive
891,neutral
892,neutral
893,neutral
894,positive
895,negative
896,positive
897,neutral
898,neutral
899,negative
900,neutral
901,positive
902,positive
903,negative
904,neutral
905,positive
906,positive
907,negative
908,positive
909,neutral
910,neutral
911,neutral
912,neutral
913,positive
914,positive
915,negative
916,positive
917,negative
918,positive
919,positive
920,positive
921,neutral
922,neutral
923,neutral
924,negative
925,neutral
926,neutral
927,positive
928,neutral
929,neutral
930,negative
931,neutral
932,positive
933,neutral
934,negative
935,positive
936,neutral
937,neutral
938,neutral
939,neutral
940,positive
941,negative
942,neutral
943,negative
944,neutral
945,negative
946,negative
947,neutral
948,negative
949,neutral
950,positive
951,positive
952,negative
953,positive
954,negative
955,neutral
956,positive
957,neutral
958,neutral
959,positive
960,neutral
961,positive
962,neutral
963,neutral
964,neutral
965,positive
966,positive
967,neutral
968,neutral
969,negative
970,positive
971,negative
972,positive
973,positive
974,negative
975,negative
976,negative
977,neutral
978,positive
979,positive
980,negative
981,neutral
982,neutral
983,positive
984,positive
985,neutral
986,negative
987,neutral
988,neutral
989,neutral
990,negative
991,neutral
992,positive
993,positive
994,neutral
995,positive
996,positive
997,positive
998,neutral
999,neutral
1000,neutral
1001,positive
1002,positive
1003,positive
1004,neutral
1005,positive
1006,neutral
1007,negative
1008,neutral
1009,positive
1010,negative
1011,neutral
1012,neutral
1013,negative
1014,positive
1015,neutral
1016,neutral
1017,positive
1018,positive
1019,neutral
1020,negative
1021,neutral
1022,positive
1023,neutral
1024,positive
1025,neutral
1026,negative
1027,positive
1028,negative
1029,positive
1030,neutral
1031,neutral
1032,positive
1033,neutral
1034,neutral
1035,negative
1036,neutral
1037,neutral
1038,positive
1039,neutral
1040,positive
1041,negative
1042,neutral
1043,negative
1044,negative
1045,positive
1046,neutral
1047,positive
1048,positive
1049,neutral
1050,negative
1051,neutral
1052,neutral
1053,neutral
1054,neutral
1055,neutral
1056,neutral
1057,negative
1058,neutral
1059,positive
1060,negative
1061,positive
1062,neutral
1063,positive
1064,positive
1065,positive
1066,neutral
1067,negative
1068,neutral
1069,negative
1070,neutral
1071,negative
1072,positive
1073,positive
1074,negative
1075,negative
1076,positive
1077,positive
1078,positive
1079,positive
1080,neutral
1081,neutral
1082,neutral
1083,positive
1084,neutral
1085,neutral
1086,positive
1087,negative
1088,positive
1089,positive
1090,positive
1091,positive
1092,positive
1093,neutral
1094,neutral
1095,positive
1096,neutral
1097,negative
1098,negative
1099,negative
1100,neutral
1101,positive
1102,neutral
1103,negative
1104,negative
1105,negative
1106,positive
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,positive
1118,neutral
1119,positive
1120,neutral
1121,neutral
1122,positive
1123,negative
1124,negative
1125,positive
1126,neutral
1127,negative
1128,neutral
1129,neutral
1130,positive
1131,neutral
1132,neutral
1133,neutral
1134,positive
1135,positive
1136,negative
1137,positive
1138,positive
1139,neutral
1140,neutral
1141,neutral
1142,negative
1143,negative
1144,neutral
1145,positive
1146,negative
1147,positive
1148,positive
1149,positive
1150,positive
1151,positive
1152,positive
1153,negative
1154,neutral
1155,negative
1156,neutral
1157,positive
1158,positive
1159,negative
1160,positive
1161,negative
1162,positive
1163,negative
1164,neutral
1165,neutral
1166,neutral
1167,positive
1168,positive
1169,neutral
1170,positive
1171,negative
1172,negative
1173,neutral
1174,negative
1175,positive
1176,neutral
1177,negative
1178,positive
1179,positive
1180,neutral
1181,positive
1182,neutral
1183,positive
1184,neutral
1185,positive
1186,negative
1187,neutral
1188,negative
1189,negative
1190,neutral
1191,neutral
1192,positive
1193,neutral
1194,neutral
1195,neutral
1196,positive
1197,negative
1198,negative
1199,positive
1200,neutral
1201,neutral
1202,negative
1203,negative
1204,negative
1205,positive
1206,negative
1207,positive
1208,positive
1209,positive
1210,negative
1211,positive
1212,neutral
1213,positive
1214,negative
1215,neutral
1216,positive
1217,neutral
1218,neutral
1219,neutral
1220,negative
1221,negative
1222,neutral
1223,neutral
1224,negative
1225,neutral
1226,neutral
1227,negative
1228,neutral
1229,positive
1230,neutral
1231,neutral
1232,negative
1233,neutral
1234,negative
1235,neutral
1236,negative
1237,neutral
1238,positive
1239,positive
1240,neutral
1241,positive
1242,negative
1243,positive
1244,positive
1245,neutral
1246,neutral
1247,neutral
1248,negative
1249,neutral
1250,negative
1251,positive
1252,neutral
1253,neutral
1254,positive
1255,neutral
1256,neutral
1257,negative
1258,neutral
1259,neutral
1260,neutral
1261,neutral
1262,positive
1263,neutral
1264,neutral
1265,neutral
1266,negative
1267,positive
1268,negative
1269,negative
1270,neutral
1271,neutral
1272,neutral
1273,positive
1274,positive
1275,negative
1276,neutral
1277,positive
1278,neutral
1279,neutral
1280,positive
1281,neutral
1282,negative
1283,neutral
1284,positive
1285,positive
1286,negative
1287,neutral
1288,neutral
1289,negative
1290,negative
1291,positive
1292,neutral
1293,negative
1294,positive
1295,negative
1296,positive
1297,positive
1298,neutral
1299,neutral
1300,neutral
1301,negative
1302,neutral
1303,neutral
1304,positive
1305,positive
1306,negative
1307,negative
1308,negative
1309,positive
1310,neutral
1311,negative
1312,negative
1313,neutral
1314,neutral
1315,negative
1316,positive
1317,positive
1318,neutral
1319,positive
1320,positive
1321,negative
1322,neutral
1323,neutral
1324,positive
1325,negative
1326,positive
1327,positive
1328,negative
1329,negative
1330,positive
1331,neutral
1332,neutral
1333,neutral
1334,negative
1335,positive
1336,neutral
1337,positive
1338,neutral
1339,positive
1340,negative
1341,neutral
1342,negative
1343,neutral
1344,positive
1345,positive
1346,neutral
1347,neutral
1348,negative
1349,positive
1350,positive
1351,negative
1352,positive
1353,positive
1354,neutral
1355,negative
1356,positive
1357,positive
1358,positive
1359,positive
1360,neutral
1361,neutral
1362,positive
1363,positive
1364,neutral
1365,negative
1366,positive
1367,negative
1368,positive
1369,neutral
1370,neutral
1371,positive
1372,positive
1373,neutral
1374,positive
1375,positive
1376,positive
1377,positive
1378,positive
1379,neutral
1380,positive
1381,neutral
1382,neutral
1383,neutral
1384,neutral
1385,negative
1386,positive
1387,neutral
1388,negative
1389,negative
1390,positive
1391,neutral
1392,neutral
1393,neutral
1394,neutral
1395,neutral
1396,negative
1397,positive
1398,neutral
1399,negative
1400,neutral
1401,neutral
1402,negative
1403,neutral
1404,positive
1405,negative
1406,neutral
1407,positive
1408,positive
1409,neutral
1410,positive
1411,negative
1412,neutral
1413,positive
1414,positive
1415,positive
1416,neutral
1417,negative
1418,positive
1419,negative
1420,neutral
1421,neutral
1422,positive
1423,neutral
1424,positive
1425,positive
1426,neutral
1427,neutral
1428,positive
1429,negative
1430,neutral
1431,neutral
1432,neutral
1433,neutral
1434,neutral
1435,positive
1436,positive
1437,neutral
1438,neutral
1439,neutral
1440,neutral
1441,positive
1442,negative
1443,positive
1444,positive
1445,neutral
1446,positive
1447,neutral
1448,neutral
1449,neutral
1450,positive
1451,positive
1452,neutral
1453,positive
1454,neutral
1455,neutral
1456,positive
1457,neutral
1458,negative
1459,neutral
1460,neutral
1461,negative
1462,neutral
1463,neutral
1464,neutral
1465,positive
1466,neutral
1467,positive
1468,positive
1469,positive
1470,neutral
1471,positive
1472,neutral
1473,positive
1474,positive
1475,neutral
1476,positive
1477,neutral
1478,neutral
1479,positive
1480,neutral
1481,positive
1482,negative
1483,neutral
1484,neutral
1485,positive
1486,positive
1487,neutral
1488,negative
1489,neutral
1490,positive
1491,negative
1492,negative
1493,positive
1494,positive
1495,neutral
1496,positive
1497,negative
1498,neutral
1499,neutral
1500,positive
1501,negative
1502,neutral
1503,neutral
1504,negative
1505,positive
1506,neutral
1507,positive
1508,neutral
1509,positive
1510,positive
1511,negative
1512,neutral
1513,negative
1514,neutral
1515,neutral
1516,neutral
1517,positive
1518,neutral
1519,negative
1520,negative
1521,neutral
1522,positive
1523,neutral
1524,neutral
1525,negative
1526,neutral
1527,neutral
1528,negative
1529,negative
1530,negative
1531,negative
1532,positive
1533,neutral
1534,positive
1535,neutral
1536,negative
1537,neutral
1538,neutral
1539,neutral
1540,neutral
1541,neutral
1542,negative
1543,positive
1544,neutral
1545,positive
1546,neutral
1547,neutral
1548,neutral
1549,neutral
1550,neutral
1551,neutral
1552,positive
1553,neutral
1554,positive
1555,negative
1556,neutral
1557,positive
1558,negative
1559,neutral
1560,neutral
1561,neutral
1562,positive
1563,negative
1564,neutral
1565,negative
1566,neutral
1567,negative
1568,negative
1569,negative
1570,negative
1571,positive
1572,neutral
1573,neutral
1574,negative
1575,neutral
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,positive
1581,neutral
1582,negative
1583,neutral
1584,positive
1585,neutral
1586,neutral
1587,positive
1588,positive
1589,positive
1590,neutral
1591,positive
1592,positive
1593,neutral
1594,neutral
1595,positive
1596,neutral
1597,positive
1598,positive
1599,neutral
1600,negative
1601,neutral
1602,neutral
1603,positive
1604,neutral
1605,positive
1606,neutral
1607,positive
1608,negative
1609,negative
1610,negative
1611,negative
1612,neutral
1613,neutral
1614,positive
1615,neutral
1616,positive
1617,neutral
1618,negative
1619,neutral
1620,neutral
1621,neutral
1622,neutral
1623,negative
1624,positive
1625,neutral
1626,neutral
1627,neutral
1628,negative
1629,neutral
1630,neutral
1631,negative
1632,neutral
1633,neutral
1634,neutral
1635,neutral
1636,neutral
1637,positive
1638,neutral
1639,positive
1640,neutral
1641,neutral
1642,positive
1643,neutral
1644,neutral
1645,neutral
1646,neutral
1647,positive
1648,positive
1649,positive
1650,neutral
1651,positive
1652,negative
1653,neutral
1654,neutral
1655,positive
1656,neutral
1657,negative
1658,neutral
1659,negative
1660,neutral
1661,neutral
1662,positive
1663,neutral
1664,negative
1665,neutral
1666,positive
1667,neutral
1668,neutral
1669,neutral
1670,neutral
1671,positive
1672,neutral
1673,neutral
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,positive
1679,positive
1680,neutral
1681,positive
1682,negative
1683,neutral
1684,negative
1685,negative
1686,neutral
1687,negative
1688,negative
1689,positive
1690,negative
1691,negative
1692,neutral
1693,negative
1694,negative
1695,neutral
1696,negative
1697,positive
1698,neutral
1699,positive
1700,neutral
1701,neutral
1702,positive
1703,neutral
1704,positive
1705,neutral
1706,positive
1707,positive
1708,neutral
1709,negative
1710,positive
1711,negative
1712,positive
1713,neutral
1714,neutral
1715,positive
1716,neutral
1717,neutral
1718,positive
1719,positive
1720,neutral
1721,positive
1722,neutral
1723,neutral
1724,negative
1725,positive
1726,positive
1727,neutral
1728,negative
1729,negative
1730,neutral
1731,negative
1732,neutral
1733,negative
1734,positive
1735,positive
1736,neutral
1737,negative
1738,neutral
1739,neutral
1740,positive
1741,neutral
1742,positive
1743,negative
1744,positive
1745,positive
1746,neutral
1747,positive
1748,positive
1749,neutral
1750,neutral
1751,neutral
1752,negative
1753,neutral
1754,positive
1755,negative
1756,neutral
1757,positive
1758,neutral
1759,positive
1760,neutral
1761,neutral
1762,neutral
1763,neutral
1764,neutral
1765,negative
1766,negative
1767,positive
1768,positive
1769,positive
1770,neutral
1771,negative
1772,negative
1773,neutral
1774,negative
1775,neutral
1776,neutral
1777,positive
1778,neutral
1779,neutral
1780,positive
1781,neutral
1782,positive
1783,neutral
1784,negative
1785,positive
1786,negative
1787,positive
1788,negative
1789,neutral
1790,neutral
1791,positive
1792,neutral
1793,negative
1794,negative
1795,neutral
1796,negative
1797,neutral
1798,negative
1799,negative
1800,neutral
1801,positive
1802,negative
1803,neutral
1804,positive
1805,neutral
1806,neutral
1807,negative
1808,positive
1809,positive
1810,neutral
1811,positive
1812,neutral
1813,negative
1814,neutral
1815,neutral
1816,neutral
1817,neutral
1818,neutral
1819,positive
1820,neutral
1821,neutral
1822,positive
1823,neutral
1824,neutral
1825,negative
1826,neutral
1827,positive
1828,neutral
1829,negative
1830,neutral
1831,positive
1832,positive
1833,negative
1834,negative
1835,neutral
1836,neutral
1837,negative
1838,positive
1839,positive
1840,negative
1841,positive
1842,positive
1843,neutral
1844,negative
1845,neutral
1846,negative
1847,neutral
1848,negative
1849,negative
1850,positive
1851,negative
1852,neutral
1853,neutral
1854,negative
1855,neutral
1856,neutral
1857,neutral
1858,negative
1859,negative
1860,positive
1861,negative
1862,neutral
1863,neutral
1864,neutral
1865,neutral
1866,positive
1867,negative
1868,positive
1869,positive
1870,neutral
1871,positive
1872,positive
1873,neutral
1874,neutral
1875,neutral
1876,negative
1877,negative
1878,neutral
1879,neutral
1880,positive
1881,neutral
1882,neutral
1883,neutral
1884,positive
1885,positive
1886,negative
1887,neutral
1888,neutral
1889,neutral
1890,positive
1891,positive
1892,positive
1893,neutral
1894,positive
1895,positive
1896,neutral
1897,positive
1898,positive
1899,neutral
1900,positive
1901,positive
1902,neutral
1903,positive
1904,positive
1905,neutral
1906,positive
1907,positive
1908,neutral
1909,neutral
1910,neutral
1911,positive
1912,positive
1913,negative
1914,negative
1915,negative
1916,positive
1917,neutral
1918,neutral
1919,positive
1920,positive
1921,neutral
1922,positive
1923,negative
1924,negative
1925,neutral
1926,positive
1927,neutral
1928,neutral
1929,neutral
1930,neutral
1931,neutral
1932,neutral
1933,neutral
1934,positive
1935,positive
1936,negative
1937,neutral
1938,negative
1939,neutral
1940,positive
1941,neutral
1942,neutral
1943,positive
1944,neutral
1945,negative
1946,positive
1947,neutral
1948,positive
1949,positive
1950,positive
1951,neutral
1952,positive
1953,neutral
1954,neutral
1955,neutral
1956,positive
1958,neutral
1959,neutral
1960,positive
1961,neutral
1962,positive
1963,neutral
1964,negative
1965,neutral
1966,neutral
1967,neutral
1968,neutral
1970,positive
1971,positive
1972,positive
1974,neutral
1976,neutral
1977,neutral
1978,positive
1979,neutral
1981,neutral
1984,positive
1986,neutral
1987,neutral
1989,neutral
1990,positive
1991,positive
1992,neutral
1993,positive
1994,neutral
1995,positive
1996,positive
1997,negative
1998,positive
1999,positive
2000,neutral
2001,neutral
2002,positive
2003,positive
2004,neutral
2005,neutral
2006,positive
2007,positive
2008,positive
2009,neutral
2010,neutral
2011,neutral
2013,neutral
2014,positive
2015,positive
2016,neutral
2017,positive
2018,negative
2019,positive
2021,positive
2022,negative
2023,neutral
2024,neutral
2025,neutral
2026,positive
2027,negative
2028,neutral
2029,neutral
2030,neutral
2031,neutral
2033,neutral
2034,positive
2035,positive
2036,positive
2037,neutral
2038,neutral
2040,neutral
2041,negative
2042,neutral
2043,negative
2044,negative
2045,positive
2047,positive
2048,neutral
2049,positive
2052,positive
2057,positive
2058,neutral
2060,neutral
2061,neutral
2062,positive
2064,positive
2065,negative
2066,negative
2067,neutral
2070,neutral
2073,neutral
2075,neutral
2076,neutral
2077,neutral
2078,negative
2079,neutral
2083,neutral
2084,positive
2087,neutral
2088,neutral
